,name,description,category
441,Ancient Rome bombshell: Scientists' stunning find uncovers founder of capital's coffin,"Beneath what were once the bustling streets of the heart of the Roman Empire, scientists have recovered the 2,600-year-old sarcophagus hidden beneath the Roman Forum. Enclosed in a chamber rests what researchers believe to be the body of Rome’s founder, Romulus, a legendary ancient historical figure. Alongside the discovery came another ...",ScienceAndTechnology
269,Two Point Hospital developers share a video ahead of February release on console,"Two Point Hospital is set to be released on Xbox One, Nintendo Switch and PS4 on 25th February 2020. To give us more of an insight into how the game will transfer to console the developers have released a video to give us more information. In the video, developers Ben and Lauren take us on a journey by playing through a level of Two Point ...",Health
302,The Panic Attack You Think You're Having Might Be Anxiety — There's a Difference,"You might hear people say that they're having a panic attack or an anxiety attack — and this very well could be the case. But, these are also terms that are thrown around often without understanding what exactly the symptoms are (and, that's understandable!). Chances are, you might be mixing up what you believe to be a panic attack for ...",Health
627,Flood alerts issued for the Isle of Wight as more rain expected,"Flooding is expected to affect land, gardens, cycle tracks and roads including Golf Links Road and Moreton Common Road, Sandown, as well as Gurnard Road Bridge, which will see water flowing deep and fast over the next few hours The Environment Agency have issued more flood alerts for the Isle of Wight, affecting the Eastern Yar and tributaries ...",UK
152,"Glastonbury 2020: all you need to know about dates, line-up rumours, tickets, and more for the 50th anniversary festival","The Worthy Farm festival turns 50 next summer – here’s everything you need to know about joining the big anniversary bash The year 2020 sees Glastonbury celebrate the big 5-0, and the ensuing festivities are shaping up to be very special indeed. After humble beginnings – Michael Eavis hosted his first ever festival in 1970, for about ...",Entertainment
133,More women on boards but progress remains slow,"Slow progress is being made towards more women on boards across Europe and less gender pay disparity, a study has suggested. According to Korn Ferry’s latest ‘Non-Executive Directors in Europe’ report, the proportion of women on boards increased to 34 percent in 2019, up from 32 percent in 2018 and 30 percent in 2017. The number of ...",Business
42,"Fine Gael preparing to go into opposition, says Varadkar","After a six-hour parliamentary party meeting on Monday, the leader said he ‘relishes the challenge’ to lead in opposition. Leo Varadkar has said his party is preparing to go into opposition in the new Dail. After a six-hour parliamentary party meeting on Monday, the Fine Gael leader said he “relishes the challenge” to lead in opposition.",World
353,Public alarmed over fewest bobbies on the beat for more than a decade,"Nearly half of Britons say they never see a bobby on the beat, the highest level since records began more than 12 years ago, a new study reveals today. Some 48 per cent say they never see police on street patrol, almost double the 26 per cent in 2012 and the highest since 2007, when records were started, according to the Police Foundation, an ...",Politics
103,These are the best and worst Milton Keynes postcodes for selling a property,"Portraying their findings as a temperature recording, property weather forecast site PropCast has found that 89 per cent of postcode districts in Milton Keynes are in a sellers’ market, with a market heat temperature of at least 35 degrees. Noting the areas they consider to be ‘hot’ (a sellers’ market) and ‘not’ (a buyers’ market ...",Business
576,Women's Australian Open: Inbee Park wins as Jodi Ewart Shadoff finishes 10th,"England's Jodi Ewart Shadoff finished tied for 10th as Inbee Park claimed her first LPGA Tour title for nearly two years at the Women's Australian Open. Ewart Shadoff, 32, had led at halfway in Adelaide but was undone by a four-over 77 on day three. A final round of 72 saw her finish at seven under. Park had a one-over 74, but her 14-under ...",Sports
342,Coronavirus latest: Relief as Brits trapped on doomed cruise ship to fly home to UK,"Passengers on board the Japanese Diamond Princess cruise ship have been met with major relief after the Foreign and Commonwealth Office announced they are ”working to organise"" a flight back to the UK. More than 70 UK nationals stuck onboard a Japan ...",Politics
410,Who is Grant Shapps?,"Transport secretary Grant Shapps has survived a recent Cabinet reshuffle. In a tweet, he said he was “honoured to be back as secretary of state for transport”. But who is Grant Shapps and what does his role in government mean for the future of motoring? In addition to being the secretary of state for transport, Grant Shapps is the local MP ...",Politics
620,Dashcam footage shows thief’s escape from police across six lanes of motorway traffic,"A thief escaped from police by running across six lanes of motorway traffic. Dashcam footage captured the man dodging between cars and lorries on the M61 near Bolton, Greater Manchester. He miraculously managed to cross the busy road without being hit or causing an accident. Sharing the full story, not just the headlines The man also evaded ...",UK
300,"Natural supplements can be dangerously contaminated, or not even have the specified ingredients","More than two-thirds of Americans take dietary supplements. The vast majority of consumers – 84% – are confident the products are safe and effective. They should not be so trusting. I’m a professor of pharmacy practice at the University of Connecticut. As described in my new article in the Annals of Pharmacotherapy, consumers take real ...",Health
666,Glasgow Live traffic and weather: Storm Dennis continues to hit city with alerts in place,"Good morning Glasgow and welcome to yet another Monday. We hope you're all feeling refreshed and had a lovely weekend - even with the thoroughly miserable weather. Storm Dennis certainly gave Glasgow quite a battering, with weather warnings for rain and wind in place for the past couple of days. And it doesn't look like Dennis the Menace has ...",UK
176,The Cat and the Canary at Theatre Royal Glasgow,"National Treasures Si King and Dave Myers, aka The Hairy Bikers, have announced a huge nationwide tour for 2019 between February and April. With their irresistible enthusiasm, An Evening With The Hairy.. The Commitments is a fantastically feel good celebration of soul. Direct from a phenomenally successful, record breaking two year run in ...",Entertainment
385,Andrew Sabisky: Tory Aide Quits After 'Enforced Contraception' Comments,"Andrew Sabisky, the Downing Street aide who advocated forcing women to take contraception to stop unplanned pregnancies, has quit. The 27-year-old was hired after Boris Johnson’s chief adviser Dominic Cummings called for “misfits and weirdos” to apply to work with him, but faced a backlash over a series of controversial posts. On Monday ...",Politics
303,Exclusive: Trump-linked religious ‘extremists’ target women with disinformation worldwide,"Trump attends the “March for Life” in Washington DC, January 2020. A global network of ‘crisis pregnancy centres’, backed by US anti-abortion groups linked to the Trump White House, has been condemned by lawmakers, doctors and rights advocates for targeting vulnerable women with “disinformation, emotional manipulation and outright ...",Health
85,Coronavirus gives China get-out clause for buying US energy,"Leaders in Beijing probably let out a sigh of relief when the US-China “phase one” deal was signed in mid-January. Even though China had committed to buying astronomical volumes of US commodities, it was a small price to pay. Not because this would magically fix China’s deteriorating ties with the US, but because it would give Beijing ...",Business
200,Edinburgh gets £5.2m economic spin-off from filming of Fast & Furious blockbuster,"Filming of the new Fast & Furious blockbuster in Edinburgh was worth £5.2 million to its economy and helped the city to one of its most lucrative ever years as a destination for movie and TV shoots, according to official industry figures. Vin Diesel’s new movie, which was shot across three weeks in the autumn and involved more than 50 road ...",Entertainment
206,Fans react to Outlander season five's first episode – and want Sam Heughan to win an award,Fans of Outlander are delighted that the show is back - and praised Sam Heughan in the first episode of season one,Entertainment
147,The Masked Singer winner Nicola Roberts struggled to breathe and panicked in Queen Bee costume,"QUEEN BEE’S stunning, soulful vocals on The Masked Singer kept the nation trying to guess her identity – but her former Girls Aloud bandmates Cheryl Tweedy and Kimberley Walsh knew straight away. They spotted it was Nicola Roberts hidden by the costume ...",Entertainment
98,Ford Puma deliveries on hold because of airbag spring recall,"Prospective owners will have to wait for their Puma, while recalls will be issued for those that have been delivered. Ford has put a hold on deliveries of its new Puma crossover because of a problem with the airbags. Deliveries began at the start of the year, with buyers of high-specification First Edition trim levels the first to get their ...",Business
150,Kim Kardashian 'breaks her no dance rule' for TikTok video with daughter North,"Kim Kardashian has shown that she still possesses some breakout dance moves, in a new TikTok video with daughter North. The 39-year-old Keeping Up With The Kardashians star had vowed to not dance in public again after her time on Dancing With The Stars ...",Entertainment
345,"Sanders, Bloomberg trade insults as Democratic White House race heats up","RICHMOND, Calif. (Reuters) - Democratic White House contenders Bernie Sanders and Michael Bloomberg stepped up their attacks on each other on Monday, with Sanders accusing the media mogul of ...",Politics
655,These are all of the UK flood warnings in place after Storm Dennis brings heavy wind and rain,"Storm Dennis saw the UK hit with wet and windy weather over the weekend, and numerous flood warnings remain in place (Photo: Shutterstock) Storm Dennis saw the UK hit with wet and windy weather over the weekend, and numerous flood warnings remain in place. CallanderThe River Isla at Coupar AngusMoy BridgeUpper TayPitlochry to ...",UK
47,"Trump kicks off Daytona 500 race with limo loop, Air Force One flyby","DAYTONA BEACH, Fla. (Reuters) - President Donald Trump took a loop around the Daytona 500 racetrack on Sunday in his presidential limousine, drawing cheers from fans at NASCAR's most prestigious race not long after completing a dramatic flyby on Air Force One. Ramping up his nationwide re-election effort after his acquittal in the U.S. Senate ...",World
246,Coronavirus: Rescue plan 'considered' for Britons trapped on cruise,"The Foreign Office is ""considering all options"" for Britons trapped on a quarantined cruise liner in Japan struck by coronavirus - including flying them home. Some of the 74 UK passengers and crew on the Diamond Princess said they felt ""forgotten"", as other countries flew citizens home. The ship was quarantined on 3 February. Meanwhile, a hotel ...",Health
65,Sheffield SU in crisis: Activists hand president ‘say sorry or RESIGN’ ultimatum over spying claims,"Sheffield SU is mired in crisis after activists gave its president an ultimatum over claims an officer urged students to spy for the Chinese government. A group of pro-Hong Kong students have told Jake Verity they will publicly call for Sissi Li, the international students officer, to resign he does not act swiftly. It follows allegations that ...",World
407,Piping charity cleared over £1m HQ revamp after pipe bands hit out at tiny prize money,The Scottish Charity Regulator (OSCR) launched as probe after band members only got £50 each for winning top prize while cash was lavished on fancy building. Watchdogs have dropped a probe into a piping charity over claims it misused funds to renovate its HQ. But the Office of the Scottish Charity Regulator (OSCR) has told the Royal Scottish ...,Politics
416,Boris Johnson facing Tory backlash over scheme to scrap BBC licence fee,"Boris Johnson wants to ditch the BBC's licence fee system, according to reports (Photo by Bethany Clarke/Getty Images) Boris Johnson is facing a Conservative backlash over reports that Downing Street wants to scrap the BBC television licence fee and fund it through viewer subscriptions. The corporation has been warned by Number 10 that it faces ...",Politics
202,"BCL's Husband, Ashraf Sinclair, Suddenly Passed Away!","The husband of Bunga Citra Lestari (BCL) singer, Ashraf Sinclair (40), passed away this morning, Tuesday (18 February 2020). Ashraf is said to have died of a heart attack. This was confirmed by the BCL manager, Doddy. ""Heart attack,"" Doddy said, via text message on Tuesday. Grief immediately flooded the comment page on Ashraf's photo on ...",Entertainment
311,8 of the best eyelash growth serums,"Every woman wants long, thick eyelashes. But, we’re not all blessed with them. Most of us have tried faking our way to fuller, lengthier lashes but most, such as using blunt eyelash curlers or wearing false lashes, could inhibit growth. Wearing mascara can also wreak havoc, as it stiffens the hairs, which can make them more fragile.",Health
268,"Disgusting; Egg-sized Lump Is Found in the Head of This Patient, the Doctor was Surprised to See Its Fill","News24xx.com - Dermatologist from California, United States, Sandra Lee, showed her expertise in dissecting a patient's cyst lump through a video. This time, the doctor nicknamed Dr. Pimple Popper was treating a patient who had an egg-sized lump in his head. Eric, the cyst patient, said the bump on his head had arisen from an engine hit eight ...",Health
44,Russian and Iranian energy ministers discuss OPEC+ cooperation - Russia,"MOSCOW (Reuters) - Russian Energy Minister Alexander Novak on Monday discussed OPEC+ cooperation by phone with Iranian oil minister Bijan Zanganeh, Russia's Energy Ministry said in a statement. The two men also talked about the state of world oil markets, the ministry said. (Reporting by Anton Kolodyazhnyy; Editing by Andrew Osborn)",World
115,Norwegian Spirit emerges post USD 100-million revitalisation,"Norwegian Cruise Line has unveiled its updated cruise ship, Norwegian Spirit, following a USD 100-million overhaul as part of The Norwegian Edge programme. The ship emerged from a 43-day dry dock in Marseille, France to arrive at Civitavecchia, Italy, boasting 14 new venues, additional and updated staterooms, enhanced public areas and new hull art.",Business
546,‘Without them I wouldn’t be’ - Coventry City favourite hails the big influences on his career,Coventry City favourite Max Biamou believes he’s come a long way since joining the club from non-league Sutton United. And the 29-year-old Sky Blues striker insists he owes everything to the love from the fans and first class coaching from manager Mark Robins and his staff. The Frenchman took his season’s tally to 11 goals at the weekend ...,Sports
381,Trump’s Border Wall Desecrates the Sacred,"During the 2016 Dakota Access Pipeline protests, the Standing Rock Sioux Tribe community and many other American Indians from around the nation fought vehemently against the proposed pipeline’s route under freshwater rivers and lakes, as well as its intended route through Standing Rock’s ancestral tribal lands. Over the course of almost a ...",Politics
317,"Scone woman claiming disability payments running 5k ‘every other day’, trial hears","A woman who claimed she was “virtually unable to walk” was doing 5k runs several times a week, a fraud trial was told yesterday. Beverley Dott, 52, was getting the maximum level of payment because of her self-proclaimed lack of mobility due to multiple sclerosis. However, DLA assessor John Breen told the trial at Perth Sheriff Court that ...",Health
127,EY downgrades its 2020 growth forecast for Northern Ireland,"ECONOMIC growth in the north is expected to remain sluggish in 2020, an influential report has concluded. Professional service giant EY (Ernst & Young) has revised its Northern Ireland forecast downwards, projecting just 0.8 per cent growth this year. But it said that the restoration of the Stormont Executive and the expected increase in ...",Business
306,Iceland supermarket recalls various vegan products as they contain milk,Supermarket giant Iceland has had to recall several 'vegan' products as is turns out they have milk in them. The urgent recall comes after realising the plant-based goods actually had animal products in them which was not specified on the labels. This means the products could have a harmful affect on anyone with an allergy or an intolerance to ...,Health
555,Longo praises Torino players in AC Milan defeat,Atletico Madrid midfielder Thomas Partey confir... Barcelona deny hiring online PR company to rubb... Agent of Leganes striker Martin Braithwaite in ... AC Milan coach Pioli delighted with victory ove... Liverpool boss Klopp: Why I won't work in Serie...,Sports
335,Disgraceful smearing of a conservative conference,"A COUPLE of weeks ago I attended a conference in Rome called ‘God, Honor, Country: President Ronald Reagan, Pope John Paul II, and the Freedom of Nations – A National Conservatism Conference’. It was a civilised discussion about legitimate concerns ...",Politics
453,New PS5 price and release date update - bad news for PS4 fans?,The big PS5 price reveal may include some surprise news for PS4 gamers later in 2020. That's according to a new report that suggests the tech giant is facing certain challenges when it comes to the launch of the next PlayStation console. The PlayStation 4 has proven a winning product for Sony and has now surpassed 100 million units sold since ...,ScienceAndTechnology
459,Final Fantasy: Crystal Chronicles Remastered Edition Gets Rated In Australia,"Final Fantasy: Crystal Chronicles Remastered Edition was due to arrive on 23rd January until Square Enix decided to push the game back to summer 2020. The reason behind this decision was so the development team could make some final adjustments to the game, to ensure it was the best experience possible. If you've been eager for an update, the ...",ScienceAndTechnology
500,Amazon boss Jeff Bezos launches $10 bn fund to combat climate change,"His company is often criticised for its environmental record, but Jeff Bezos, CEO of Amazon and the world's richest man, said Monday that he was committing $10 billion to a new fund to tackle climate change. In a post to his 1.4 million followers on Instagram, the e-commerce tycoon said the Bezos Earth Fund would ""fund scientists, activists ...",ScienceAndTechnology
472,‘United By Emotion’ revealed as Tokyo 2020 motto,"The official motto of the Tokyo 2020 Olympics was revealed yesterday by organisers to be “United by Emotion”. The motto will be displayed in English only, in a variety of environments and applications including at competition venues, on city street ...",ScienceAndTechnology
525,Birmingham City issue key injury update as Garry Monk feels the heat at Sheffield Wednesday,"Birmingham City are sweating on the fitness of star striker Scott Hogan after he picked up an injury against Brentford, Garry Monk has problems of his own Birmingham City took to Twitter to post an update on the fitness of Scott Hogan. The on-loan Aston Villa striker took a knock to the ankle in the second-half of Saturday's 1-1 draw with ...",Sports
309,"What Is Chronic Kidney Disease, The 'Global Killer In Plain Sight'?","The condition is where the kidneys stop working as well as they should. It progresses over time and, in some cases, the kidneys can fail completely – but many people are still able to live long lives. The issue is generally associated with ageing – roughly 50% of all people over 75 have the disease – and it’s more common in people who ...",Health
22,China cracks down on dissent over coronavirus outbreak,"China has clamped down on civil society activists and access to information about the coronavirus outbreak after President Xi Jinping told authorities to strengthen control over online media as public outrage erupted over Beijing’s handling of the health emergency. Prominent legal rights activist Xu Zhiyong, who had criticised China’s ...",World
639,Heathrow Airport chaos with hundreds of flights grounded after ‘technical issue’,"At least 60 of Monday’s arrivals – equivalent to more than 9% – were cancelled due to the knock-on effect of the problem, which emerged on Sunday Flights to and from Heathrow continue to be disrupted after the airport was hit by a “technical issue”. At least 60 of Monday’s arrivals – equivalent to more than 9% – were cancelled ...",UK
489,‘British weather proof’ solar technology developed by scientists,"Scientists claim to have developed solar power technology that can produce around 20% more energy in cloudy weather, compared to conventional solar cells. Researchers say their co-called “British weather proof” technology is cheaper, more energy efficient and more flexible than traditional solar panels – and can convert solar energy to ...",ScienceAndTechnology
118,Travelodge to open 20 new London hotels,"Travelodge will open 20 new hotels in London over the next five years as it seeks to fill a gap in the capital’s budget hotel sector. The company said it is currently actively exploring opportunities at 100 locations in 29 of London’s 32 boroughs, including Westminster, Kensington and Islington. Read more: Travelodge ‘super rooms’ boost ...",Business
674,Two violent men sentenced for South Woodford burglary,"Two violent burglars are behind bars after two Met officers – retired, and on duty in response – teamed up to apprehend them. David Hansen, 27 (18.03.92), of Lawes Way, Barking Riverside, Barking and Dagenham, and Sean Bello, 24 (02.06.95), of no fixed abode were sentenced to nine years; and seven and a half years respectively, after ...",UK
501,This new range of family tents is made from plastic bottles,"Vango has teamed up with the National Trust to launch an eco-friendly camping collection made out of recycled plastic bottles. The bottles used in the tents and sleeping bags have been salvaged from waterways, streets and landfill. And it is expected that almost 300,000 will be repurposed in the first year of the collaboaration. The tents in ...",ScienceAndTechnology
208,Popular Neston Market Stallholder Opens Her Own Garden This Weekend,"One of the most popular stalls at Neston's Friday Market is run by Liz Carter and features her fabulous array of rare and unusual plants. She will be there this Friday as usual, but in addition, on Saturday and Sunday you have the opportunity to take a tour of her lovely garden, Briarfield, to take in this year's Snowdrop Festival. Liz runs ...",Entertainment
382,Javid resigns amid Cabinet reshuffle,"Since becoming the Leader of the Conservative Party and subsequently the Prime Minister of the UK on 24 July 2019, Boris Johnson made two small reshuffles. First came in September due to the resignations of two Cabinet ministers, Jo Johnson and Amber Rudd. In December, after the Conservative Party’s victory in the general election, another ...",Politics
594,Stoke City boss has answer after being quizzed on dual role with Northern Ireland,Michael O’Neill has brushed aside any fears that juggling two jobs could take its toll. But he says there is no question of his commitment to either being diluted or compromised. He explained: “There’s no issue with that. “Ian Barraclough has been assisting me with the Northern Ireland job - he’s the under-21 manager - and we’ve ...,Sports
244,Severely disabled woman’s genitals scalded ‘after nurse hoisted her into hot shower’,"A woman with severe cerebral palsy had her genitals scalded after a nurse hoisted her under a hot shower, her family says. Maeylines Quinones, 21, suffered severe burns to her privates and backside after the nurse, named as Veronica Sandoval, came to her house in Bloomfield, New Jersey, last October. Sandoval is said to have been using a hoist ...",Health
531,Liverpool and Atletico Madrid: The story so far,"Liverpool and Atletico Madrid will meet for only the fifth time competitively tonight as their duel for a place in the Champions League quarter-finals begins. Despite rich respective histories in European football, the clubs have often evaded facing each other directly – with this tie the first since four clashes in the space of 18 months a ...",Sports
333,Helping refugees for longer 'could save UK money',"The government could save millions of pounds each year if it helped refugees for longer when they arrived in the UK, new research has suggested. Currently, refugees who arrive in the UK receive financial help from the Home Office for four weeks. But a ...",Politics
551,Champions League Fantasy: Popular picks and potential differentials,"UEFA.com prepares for the start of the knockout rounds this week by looking at which players are featuring in large numbers of teams, and who's gone unnoticed yet could be worthy of consideration. Popular pick Marc-André ter Stegen (€6.0m) vs Napoli (A) The German is currently the joint second highest-scoring goalkeeper in #UCLfantasy after ...",Sports
234,Should organ donors be paid? The heavy toll of US kidney shortage,"Time is not on Duane Oates' side. His body is being slowly poisoned. Three years ago he found out that his kidneys had begun to shut down. Now, most days the 56-year-old spends hours hooked up to a dialysis machine that removes excess fluid and waste building up inside him. Although doctors refer to dialysis as ""kidney replacement therapy"", it ...",Health
350,"SICCI, RSIPF Hosts First Executive Group Meeting for 2020",The Solomon Islands Chamber of Commerce and Industry (SICCI) and the Royal Solomon Islands Police Force (RSIPF) remain committed to build on the mutual relationship established under the signed Memorandum of Understanding (MoU) in 2018. The MoU provides a conduit through the setup of an Executive Group comprising of representatives of both ...,Politics
631,Lorry collides with parked car in Blaby pushing it through garden wall,"A lorry collided with a parked car in Blaby this afternoon. The HGV was being driven along Grove Road when it smashed into the front of a white car at around 1.49pm. As a result, the car was thrust onto the pavement and through a front garden wall. A resident who lives close to the scene said he heard a ""massive bang"" and went out to see what ...",UK
665,Ruth Neave 'totally numb' after man arrested and charged for her son Rikki Neave's murder,"Mrs Neave spoke briefly after being told the news of the arrest and charge by assistant chief constable Paul Fullwood on Monday, February 17. Mr Fullwood had initiated the cold case inquiry into Rikki's death, but the case stalled when the CPS refused to prosecute. However, Mrs Neave was encouraged to ask for a victim's right to review and ...",UK
658,Drivers ignoring Storm Dennis road closures - and it's causing more problems,Drivers are being warned by police not to ignore road closures in the wake of Storm Dennis. Waves created by vehicles passing through are causing more problems in streets that have been submerged by the weekend's deluge. The clean up operation is still continuing in parts of North Wales where three flood warnings and 19 alerts were in force.,UK
689,"Student, 25, died while skiing in French Alps","An inquest was opened into the death of William Lawes, from Church Street, Wymondham, at Norfolk Coroner's Court in Norwich on Monday, February 17. Yvonne Blake, area coroner for Norfolk, said Mr Lawes, a Norwich-born student, died on February 3 at Les Deux Alpes in Isere. The medical cause of death was given as trauma from a fall in the Alps ...",UK
247,“There are significant benefits for everyone involved”,What did you identify during the Getting It Right First Time (GIRFT) visits? Professor Carrie MacEwen (CM): We found that units are working very hard in order to meet the increased demand for ophthalmology services over the last decade. That was not a surprise to us. We also found that many units are very keen to make a difference – in many ...,Health
409,Schlumberger to provide downhole services for Well-Safe Solutions,"Well-Safe Solutions has announced the award of a significant work scope to Schlumberger for the provision of Plug and Abandonment Well Services. The scope includes the supply of cementing service, wireline services, wellbore fluid services and fishing, milling and swarf recovery services. The appointment of Schlumberger was the result of a ...",Politics
573,Haydock Park review – Emitom stamps Stayers’ Hurdle claims with Rendlesham win,The Cheltenham Festival is now just three weeks away and clues for 'The Greatest Show on Turf' were evident at Haydock Park on Saturday with a number of notable successes at the Merseyside venue. The Racing Post have analysed all of the big-race victories and discussed the prospects of further riches at Prestbury Park in March. Warren Greatrex ...,Sports
411,"Ongoing vigilance needed on role, remit and reward of Spads","Under the agreement to restore devolution last month there was a pledge to make clear that ministers are responsible for the management and conduct of their Spads. While the inquiry into RHI will not report until next month, it is already clear that such a line of responsibility did not always operate in the last assembly. In some cases the ...",Politics
579,Borussia Dortmund vs Paris Saint-Germain Preview,"Borussia Dortmund and PSG meet each other in this exciting Champions League clash as Thomas Tuchel returns to his old stomping ground. PSG have been getting better year on year as they look to win the Champions League, but they remain “teenagers” in this competition and their fans would be hoping that this is the year they eventually win it.",Sports
256,Heathrow hotel block booked ‘until mid-March for coronavirus quarantine’,A Holiday Inn near Heathrow Airport is reportedly set to become a coronavirus quarantine centre. The Holiday Inn Ariel hotel has been block booked and there is no option to reserve a room until at least the middle of March on its website. Sources told The Independent that it has been reserved as a potential facility for international visitors ...,Health
102,China slowdown ‘biggest in 30 years’,"The Chinese economy is on course to suffer its worst quarterly performance since the Tiananmen Square protests in 1989 because of the coronavirus outbreak, economists have said. Chinese officials cut a key medium-term interest rate yesterday, pumping more liquidity into the system and raising hopes of further stimulus to curb the economic ...",Business
552,"Steve Bruce desperate for positives after Arsenal 4 Newcastle 0 – Delighted with 2 players, pleased with Joelinton","Steve Bruce surveying the wreckage of Arsenal 4 Newcastle 0. The Gunners went into Sunday’s match on a run of two wins in their last 17 Premier League games. Mikel Arteta’s team struggling for goals with only eight in the last eight league matches. After 54 minutes of a totally mediocre match and minimal chances, Newcastle suddenly collapsed.",Sports
502,Paul Bissonnette draws Daniel Carcillo into 'mud' with claims of racist behavior,"Paul Bissonnette and Daniel Carcillo dropped their metaphorical gloves on Twitter on Saturday night when the former accused the latter of calling him the N-word when they were teammates in the minor leagues. He added that he knew of Carcillo wearing a swastika in the NHL. Bissonnette's tweet laid out his history with Carcillo, who skated ...",ScienceAndTechnology
12,Surge in virus cases sparks more fear on Diamond Princess cruise ship,"An additional 99 people on the quarantined Diamond Princess cruise ship berthed in Japan tested positive for the new coronavirus on Monday, bringing the total number of infected passengers to 454, the Japanese health authorities confirmed. The news sparked more angst among the thousands of holidaymakers and crew nervously waiting out their ...",World
464,"Tortoise, Press Pad and Bristol Cable among 17 journalism innovation fund recipients","Tortoise, the Bristol Cable and Press Pad are among recipients of grant funding as part of a £2m innovation fund for public interest journalism. Regional news projects make up a number of the pilot fund recipients, 17 of whom have been named so far with another two yet to be announced. Also on the list of recipients is WT Social, the social ...",ScienceAndTechnology
294,"Brits increasingly want to choose their own engagement ring, new survey reveals","An increasing number of Brits want to choose their own engagement ring, a new study by Buckley London reveals. To find out the nation’s views on engagement rings, the fashion jewellery brand has surveyed UK-based adults who are in a relationship The research has found that although 64% of Brits still want their partner to choose their ...",Health
164,Caroline Flack: Fans say 'it didn't feel right' to watch Love Island after emotive tribute,"Love Island has paid tribute to former presenter Caroline Flack - with some fans saying they felt the show has returned to television ""too soon"". The 40-year-old took her own life and was found dead at her London flat on Saturday. The ITV2 show was pulled ...",Entertainment
288,High-flying lawyer's 'jetlag' turned out to be leukaemia - but she 'wouldn't undo' her tragic diagnosis,"A promising young lawyer who thought she was suffering from jetlag was shocked to be diagnosed with a form of aggressive leukaemia at just 25. But brave Alexandra Simpson has told how she “would not undo any of it” – as before her tragic diagnosis, she was “sleepwalking” through life. Blaming jetlag and her massive career move from ...",Health
195,Kylie Jenner has wisdom teeth removed,"The 'Keeping Up With the Kardashians' star took to her Instagram account on Monday (17.02.20) to show her current sucky situation as she laid in bed watching television after having the third molars - situated at the back of the mouth - extracted. Taking to her Stories, the 22-year-old beauty took a picture of her wall-mounted television and ...",Entertainment
578,Tottenham Hotspur vs RB Leipzig Preview,"Tottenham would be hoping that Jose Mourinho’s scouting trip to Germany was a successful one when the Lilywhites host RB Leipzig here. Jose Mourinho would be keen to help his team build on their appearance in the last Champions League by going one better and winning it, but that could be a tough job considering the temas that remain.",Sports
392,Urgent repairs to Washington fire HQ part of £14million spending needs forcing chiefs to raid savings,"New fire engines, ‘essential’ repairs to their Washington HQ and a new fire station for Hebburn are among the bills facing the Tyne and Wear Fire and Rescue Service (TWFRS). Chiefs claim they are further hamstrung by cuts to government funding, as well as a lack of certainty year on year as to how much cash they can expect from ministers.",Politics
503,"Despite rumours, Instagram says it isn’t restoring chronological feed",A Facebook employee has shot-down all hope for a chronological Instagram feed after a reliable tipster revealed that the company is working on a “Latest Post” feature. Twitter user Jane Manchun Wong – who likes to reverse engineer apps to reveal secret features – discovered the “Latest Posts” option while snooping around the back ...,ScienceAndTechnology
506,Mum spends just £95 to transform bathroom from 'dingy' to 'gorgeous',"A mum-of-two has pulled off a remarkable transformation of her uninspiring bathroom for £95. Charlotte Greedy, 27, was fed up with the room, but only had a budget of £100 to change it, Manchester Evening News reports. The Welsh social media influencer told money-saving community LatestDeals.co.uk: ""The bathroom was completely run down, dingy ...",ScienceAndTechnology
337,See Emily bray,"THE horns of white vans blasted in jubilation and celebratory flags of St George flew from upstairs windows. To widespread rejoicing, last week Emily Thornberry was eliminated from the contest to lead the Labour Party; no longer is there a threat of the ...",Politics
216,Neighbours promises THREE deaths and FIVE weddings for soap’s iconic 35th anniversary week,"Here's everything you need to know about Neighbours' HUGE 35th anniversary celebrations... Neighbours bosses have announced there will be three deaths and five weddings in soap’s iconic 35th anniversary episodes – plus nine (yes, NINE!) familiar faces return for the huge milestone next month. It’s not every year that a soap celebrates ...",Entertainment
614,Kate Middleton ‘so happy’ playing bigger role after Meghan Markle and Prince Harry quit – and she’ll be ‘more prominent’,"KATE Middleton is ""so happy"" to be playing bigger role after Meghan Markle and Prince Harry quit their royal duties, a source claimed today. The Duchess of Cambridge has spent the past few weeks touring up and down the country to promote her passion project on early childhood as part of her and William's Royal Foundation. Kate Middleton beams ...",UK
640,Foul-mouthed South Yorkshire woman fined after racist outburst,"Sheffield Magistrates’ Court heard on February 13 how Jessica Buttle, 40, of Farquhar Road, Maltby, near Rotherham, had been arrested in Rotherham after her sister had called police with concerns. Mark Hughes, prosecuting, said Buttle was not co-operating and as police tried to handcuff her she refused to get off the floor and had to be ...",UK
448,When is Disney+ launching in the UK? How much does it cost? How do I sign up?,"It’s been a long time coming, but entertainment juggernauts Disney have finally entered the streaming market with new service Disney+. This is huge news for TV fans: it means that there will be another player in the battle for streaming supremacy currently headed up by Netflix and Amazon. Find out everything you need to know about the Disney ...",ScienceAndTechnology
593,"Toby Alderweireld should have named new baby ‘Lucas’, Spurs received odd Champions League gifts and amazing celebrations vs Aston Villa","Good morning to everyone, especially Heung-Min Son. I don’t know about you folks, but I woke up with a massive smile on my face. Three points, last minute limbs and the gap to Chelsea is down to a point. You love to see it, you really do. What a Sunday, eh? There is nothing better than a last minute winner. The absolute limbs in the away end ...",Sports
